City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,turbat,26.0023,63.044,30.83,68,88,5.77,PK,1720808185
84,kapa'a,22.0752,-159.319,25.18,85,100,5.66,US,1720808186
85,wailua homesteads,22.0669,-159.378,24.44,87,100,5.66,US,1720808187
86,bikenibeu village,1.3673,173.1241,28.29,77,100,5.05,KI,1720808189
87,najran,17.4924,44.1277,36.36,17,99,2.02,SA,1720808190
88,ta`u,-14.2336,-169.5144,26.34,84,95,6.7,AS,1720808191
89,rokiskis,55.9667,25.5833,20.9,78,51,1.69,LT,1720808192
90,jalalabad,34.4265,70.4515,30.77,27,0,2.6,AF,1720808193
91,papao,-17.75,-149.55,25.82,84,98,9.9,PF,1720808194
92,kenai,60.5544,-151.2583,15.08,72,100,2.06,US,1720808195
93,glace bay,46.1969,-59.957,25.44,80,75,7.72,CA,1720808197
94,al ghayzah,16.2079,52.176,28.75,79,100,3.18,YE,1720808198
95,lebu,-37.6167,-73.65,11.2,57,0,2.72,CL,1720808199
96,hithadhoo,-0.6,73.0833,28.36,77,85,4.16,MV,1720808200
97,kalevala,65.2,31.1667,16.04,97,100,2.86,RU,1720808201
98,bodaybo,57.8506,114.1933,19.78,79,13,1.14,RU,1720808203
99,fuglafjordur,62.244,-6.814,12.26,90,47,4.54,FO,1720808204
100,longyearbyen,78.2186,15.6401,7.91,76,75,11.32,SJ,1720808205
101,quelimane,-17.8786,36.8883,22.97,83,0,3.36,MZ,1720808206
102,albany,42.6001,-73.9662,28.71,69,84,0.75,US,1720807952
103,rudne,49.8333,23.9,26.01,68,41,2.18,UA,1720808209
104,maumere,-8.6199,122.2111,24.35,69,64,5.27,ID,1720808210
105,yellowknife,62.456,-114.3525,18.29,36,75,6.17,CA,1720808211
106,redencao,-4.2258,-38.7306,26.94,72,96,2.12,BR,1720808212
107,invercargill,-46.4,168.35,0.45,92,0,1.68,NZ,1720808214
108,whitehorse,60.7161,-135.0538,13.94,58,90,5.81,CA,1720808215
109,qamdo,31.1667,97.2333,11.22,64,89,1.65,CN,1720808216
110,richards bay,-28.783,32.0377,18.95,83,0,2.01,ZA,1720808218
111,sogndal,61.2283,7.1003,25.21,53,75,0.0,NO,1720808219
112,zimapan,20.75,-99.35,22.29,61,100,2.67,MX,1720807982
113,mount gambier,-37.8333,140.7667,6.38,94,27,1.78,AU,1720808221
114,praia da vitoria,38.7333,-27.0667,29.14,61,40,5.46,PT,1720808222
115,gaalkacyo,6.7697,47.4308,29.48,51,71,11.94,SO,1720808224
116,gamay,12.3854,125.2979,24.69,95,84,1.62,PH,1720808225
117,nemuro,43.3236,145.575,13.52,98,4,1.8,JP,1720808226
118,kuningan,-6.9758,108.4831,18.64,95,76,2.42,ID,1720808227
119,isangel,-19.55,169.2667,22.44,86,8,3.21,VU,1720808228
120,at taj,24.2049,23.2857,34.07,16,0,4.74,LY,1720808230
121,thunder bay,48.4001,-89.3168,30.99,37,20,4.63,CA,1720808183
122,luderitz,-26.6481,15.1594,14.27,70,1,3.36,NA,1720808232
123,chabahar,25.2919,60.643,29.93,89,100,4.04,IR,1720808233
124,kodiak,57.79,-152.4072,10.73,87,100,6.69,US,1720808070
125,xilin hot,43.9667,116.0333,17.6,87,58,2.15,CN,1720808236
126,san felice circeo,41.2372,13.0942,32.4,63,0,4.1,IT,1720808229
